year,st,state,pollib_median,innovatescore_boehmkeskinner,incshare_top1,hvd_4yr,inst6013_adacope,inst6014_nom,citi6013,wpid,wideo,pid,ideo,npid,mood,democrat,republican,liberal,conservative
2001,OK,Oklahoma,-0.90634,0.055231001,14.434399,34.443699,32.360001,37.708199,32.224701,0.076713003,-0.314569,0.113924,-0.25619799,158,37.791,28.104317,43.617989,8.7440281,40.586193
2001,OR,Oregon,1.1244299,0.129207,13.902052,45.9053,68.396698,65.303703,63.159901,0.024095999,-0.107427,0.010582,-0.120805,189,38.521,28.314402,31.495008,24.530401,34.413956
2001,PA,Pennsylvania,0.396568,0.052096002,15.633533,31.6884,23.011299,29.056,55.030701,0.16266599,-0.084431998,0.121212,-0.115063,660,42.942001,37.154095,33.414982,21.057911,33.218292
2001,RI,Rhode Island,1.8979501,0.063461997,16.583704,21.312201,80.333298,73.036598,85.7584,0.13163801,-0.138413,0.234043,-0.085713997,47,43.339001,38.495262,23.451893,29.251863,27.594177
2001,SC,South Carolina,-1.52082,0.047754999,14.127504,22.5149,52.438202,53.683102,42.975899,0.023373,-0.24931601,-0.004717,-0.30246899,212,39.183998,33.744049,39.871059,12.447205,37.239002
2001,SD,South Dakota,-1.0096,0.036371998,13.521416,42.668201,21.5,21.834801,53.983799,-0.004173,-0.20867001,0.12766001,-0.175,47,36.008999,26.142984,39.606113,11.420307,41.745049
2001,TN,Tennessee,-0.90867698,0.050496001,15.522873,26.4776,37.482899,40.991501,40.6199,-0.018467,-0.18352801,0.003145,-0.142259,318,36.966999,33.23682,38.792473,17.070538,37.417645
2001,TX,Texas,-0.767129,0.187581,17.192554,20.8022,65.675201,63.929501,42.662701,-0.085647002,-0.245722,-0.097374,-0.25205499,914,36.507,27.174822,40.474415,12.681772,35.053051
2001,UT,Utah,-1.0349801,0.093695998,13.347438,49.019798,6.25,17.4932,31.4389,-0.32058299,-0.236572,-0.31775701,-0.22499999,107,35.423,19.276472,46.543224,11.87024,44.195526
2001,VT,Vermont,1.59333,0.051676001,13.527205,57.290401,86.078499,80.406799,79.2687,0.012083,0.039439,0.03438,0.063988,669,44.556999,29.856171,32.677891,26.215427,33.124573
2001,VA,Virginia,-0.816109,0.057123002,13.850266,29.405701,15.8125,23.1647,53.358398,0.079443,-0.194096,0.039062999,-0.15436199,384,40.042999,32.244675,34.29406,16.766712,32.668041
2001,WA,Washington,0.90340698,0.108082,17.516987,45.5233,74.495499,73.202103,51.7635,-0.049392998,-0.19311599,0.012821,-0.147679,312,41.869999,33.140625,28.239231,24.522497,28.57337
2001,WV,West Virginia,0.29215601,0.044640001,13.605561,38.2854,56.8125,54.7901,66.537399,0.0243,-0.140176,0.057691999,-0.130435,104,34.987999,31.503347,39.384724,12.543021,38.34716
2001,WI,Wisconsin,0.85395801,0.024327001,14.212323,37.860001,30.465,21.0888,53.385601,0.097955003,-0.158519,0.103093,-0.12931,291,38.259998,31.467955,33.065182,13.49144,34.451283
2001,WY,Wyoming,-1.05398,0.019440001,24.085148,29.474001,8.8333302,11.6791,27.1628,-0.17570899,-0.073262997,-0.157895,-0.2,19,33.335999,21.569824,46.881805,10.290191,45.534008
2002,AL,Alabama,-1.8332601,0.059503999,14.149126,35.998299,67.25,83.073799,33.778801,-0.03466,-0.219115,-0.098182,-0.200692,275,41.063999,34.145447,35.509621,14.37273,43.386265
2002,AK,Alaska,0.63328201,0.061464999,10.224626,46.1912,49.965099,50.811901,30.8141,-0.53676999,-0.427863,-0.37777799,-0.25,45,34.796001,26.371155,39.363274,14.31514,41.362556
2002,AZ,Arizona,-0.60938001,0.149362,14.881857,35.562302,20.75,16.7442,43.8153,-0.087417997,-0.170086,-0.119691,-0.152941,259,43.959,28.018875,38.726601,17.374512,38.233959
2002,AR,Arkansas,-1.77148,0.120199,14.235644,24.0383,41.9375,47.308701,43.5285,0.215167,-0.227145,0.209677,-0.20442,186,40.118999,34.511623,29.288385,16.535511,40.243092
2002,CA,California,2.5343299,0.253333,17.687557,49.766102,92.352898,89.253899,56.2896,0.11417,-0.037158001,0.098214,-0.012179,1456,42.008999,35.432281,30.269442,24.333324,31.568163
2002,CO,Colorado,-0.345366,0.095334001,15.002913,52.612301,26.0474,19.9328,48.1315,-0.026456,-0.011767,-0.092409,-0.054487001,303,38.916,28.460371,38.903778,19.325361,36.04464
2002,CT,Connecticut,1.70978,0.063486002,23.810242,37.868,54.318298,57.272499,60.840801,0.1441,0.075879999,0.143519,0.12727299,216,42.726002,32.298683,26.573769,23.32073,33.676262
2002,DE,Delaware,0.45040399,0.089014001,14.159166,32.653599,69.1875,65.364799,52.248199,0.420845,0.247794,0.418605,0.27272701,43,65.819,63.180653,8.0825357,46.435936,16.902866
2002,FL,Florida,-0.62145299,0.113175,20.864506,28.135099,7,15.7033,46.065201,0.089492001,-0.100011,0.046829,-0.09082,1025,41.09,35.349281,33.354359,18.905569,36.491043
2002,GA,Georgia,-1.4548399,0.100642,14.902767,25.0023,72.659897,76.646599,35.816898,0.060210999,-0.136025,0.001976,-0.119002,506,36.339001,34.027145,34.891209,16.828884,40.989983
2002,HI,Hawaii,1.57236,0.085419998,11.437619,43.645802,90.625,90.792099,76.380699,-0.047903001,0.086309001,0.080645002,0.076922998,62,41.27,34.752438,21.8727,23.00276,27.450773
2002,ID,Idaho,-1.03053,0.020644,12.298848,29.5956,5.375,12.4662,16.446199,-0.080353998,-0.224133,-0.227273,-0.237288,110,33.226002,23.322342,47.857742,12.094954,45.105518
2002,IL,Illinois,0.340363,0.040773001,17.446199,27.492901,28.275999,34.5271,55.388599,0.109702,-0.039554,0.033236999,-0.060690001,692,41.490002,36.636925,29.81056,21.718973,32.222992
2002,IN,Indiana,-0.42962199,0.123798,13.050994,28.5021,57.147999,55.306999,42.821201,-0.108499,-0.212819,-0.12727299,-0.213043,440,36.023998,28.992863,36.090973,15.302215,39.392101
2002,IA,Iowa,0.32724601,0.02524,11.296376,44.327099,51.632,58.7756,41.530998,-0.038663,-0.093722999,-0.004274,-0.104803,234,39.394001,31.083603,30.900734,18.391197,35.940582
2002,KS,Kansas,-0.634978,0.046447001,13.250825,37.844799,6.6999998,15.457,30.674801,-0.171986,-0.13327,-0.202765,-0.139423,217,34.904999,28.361027,39.541431,14.737461,40.297802
2002,KY,Kentucky,-0.449321,0.045418002,13.184172,34.1912,9.9080801,55.116699,8.4498901,0.112416,-0.202224,0.082111001,-0.192982,341,35.825001,30.98888,39.075302,15.429512,41.432747
2002,LA,Louisiana,-0.88167697,0.155894,14.148384,22.431999,37.799999,46.9067,31.742901,0.174346,-0.277055,0.095744997,-0.254545,282,39.998001,38.282196,30.184841,17.217094,40.508835
2002,ME,Maine,1.05423,0.23052301,13.239964,52.824001,77.111198,73.623299,65.442802,0.023778001,-0.092474997,0,-0.120567,146,41.484001,31.630806,28.571522,20.540323,33.394314
2002,MD,Maryland,1.57593,0.145,13.826981,38.392601,97.5,87.406898,66.961899,0.107972,-0.035882,0.14366201,-0.022221999,355,44.660999,42.959099,25.204147,22.881376,31.632959
2002,MA,Massachusetts,1.77472,0.048443999,18.369154,17.3001,62.198898,71.838501,79.041702,0.126196,-0.035629999,0.136574,-0.031891,432,45.952999,35.312359,18.663706,27.672094,27.093098
2002,MI,Michigan,0.34940001,0.001623,13.882534,52.374401,13.3766,19.965099,54.852501,0.057259001,-0.030803001,0.02029,-0.051701002,690,41.941002,34.232533,31.612141,19.506954,36.737595
2002,MN,Minnesota,1.4539599,0.002747,14.749346,55.671001,54.0578,52.9403,53.015999,0.002007,-0.183787,-0.005222,-0.14320999,383,40.457001,31.87645,29.689009,19.962427,35.555546
2002,MS,Mississippi,-1.93707,0.03655,13.110863,19.7684,67.166702,74.204498,36.008801,-0.024682,-0.29267401,-0.12,-0.28888899,175,40.651001,39.363392,31.475647,15.748567,41.088074
2002,MO,Missouri,-0.128315,0.086410001,14.333863,37.411701,28.724001,34.257599,48.078999,0.067804001,-0.199275,0.068181999,-0.14572901,396,39.334,29.911623,34.625263,17.36743,39.106422
2002,MT,Montana,0.29381201,0.040521,13.770126,41.595901,14.18,24.3727,44.504601,-0.142556,-0.096895002,-0.227273,-0.123596,88,35.437,26.072571,42.508118,14.43501,40.963268
2002,NE,Nebraska,-0.24067999,0.063781001,13.316541,36.584099,15.8375,28.354799,25.2827,-0.019613,-0.21893901,-0.082353003,-0.19186001,170,36.241001,26.757734,42.058796,13.190506,44.202999
2002,NV,Nevada,-0.30197099,0.169312,22.746719,45.5854,36.8283,30.445801,47.810902,0.022815,-0.16332,-0.135417,-0.22,96,41.838001,30.553337,34.950542,18.804323,35.839451
2002,NH,New Hampshire,0.62625098,0.027003,14.103117,56.538399,52.903599,44.537498,42.107201,-0.138116,-0.18816701,-0.085106,-0.119565,94,40.027,29.650364,31.11977,19.379417,34.284149
2002,NJ,New Jersey,2.0913301,0.149672,18.04211,52.174801,79.156303,76.8983,56.597301,0.032900002,-0.034791999,-0.008909,-0.034334999,449,46.037998,36.71875,24.336588,22.400883,32.750935
2002,NM,New Mexico,0.211101,0.124096,11.917369,32.3535,50.067902,56.294899,53.177299,0.16062599,0.018389,0.12037,0.035714,108,40.348,31.058754,33.47279,19.99148,36.360046
2002,NY,New York,1.99528,0.096735999,23.982508,33.452801,33.983501,45.9617,60.754002,0.114124,-0.057507001,0.093629003,-0.035238001,1036,46.181999,38.420105,23.775633,25.643934,27.42536
2002,NC,North Carolina,-1.44345,0.159004,13.79114,41.043301,76.884399,77.453499,44.026501,0.070561998,-0.13277701,0.014085,-0.154374,568,38.043999,34.59256,34.569847,15.887984,41.157204
2002,ND,North Dakota,-1.32214,0.001252,11.217135,60.3246,14.8229,21.6523,60.750801,-0.149506,-0.227972,-0.137931,-0.209677,58,34.707001,27.858061,38.949379,13.428234,43.336594
2002,OH,Ohio,-0.101395,0.024684001,13.735773,46.560902,10.0993,23.997499,44.3069,0.018098,-0.153991,-0.019440999,-0.152582,823,37.521999,29.586103,34.374496,18.977015,36.113987
2002,OK,Oklahoma,-0.87234199,0.055231001,12.938307,33.795502,31.0165,37.4128,31.320101,-0.098477997,-0.29759699,-0.108597,-0.232143,221,37.915001,30.433023,38.331409,13.143254,43.278683
2002,OR,Oregon,1.03685,0.129207,13.427563,48.449299,66.868301,65.303703,61.615898,0.108007,0.045379002,0.049807999,0,261,40.418999,30.361805,34.106823,20.887972,33.276867
2002,PA,Pennsylvania,0.32124099,0.052096002,14.90772,32.312901,19.155701,29.056,51.8853,0.039471,-0.03283,0.034446999,-0.033473,958,43.925999,34.987141,35.262642,18.542446,35.062157
2002,RI,Rhode Island,1.84865,0.063461997,14.614239,23.6294,70.666702,73.036598,79.578003,0.355003,0.017284,0.32432401,-0.025641,74,46.765999,35.604069,21.652502,25.313288,29.538504
