"","state","year","population"
"365","Iowa","2007",2999212
"366","Kansas","2007",2783785
"367","Kentucky","2007",4256672
"368","Louisiana","2007",4375581
"369","Maine","2007",1327040
"370","Maryland","2007",5653408
"371","Massachusetts","2007",6431559
"372","Michigan","2007",10001284
"373","Minnesota","2007",5207203
"374","Mississippi","2007",2928350
"375","Missouri","2007",5887612
"376","Montana","2007",964706
"377","Nebraska","2007",1783440
"378","Nevada","2007",2601072
"379","New Hampshire","2007",1312540
"380","New Jersey","2007",8677885
"381","New Mexico","2007",1990070
"382","New York","2007",19132335
"383","North Carolina","2007",9118037
"384","North Dakota","2007",652822
"385","Ohio","2007",11500468
"386","Oklahoma","2007",3634349
"387","Oregon","2007",3722417
"388","Pennsylvania","2007",12563937
"389","Rhode Island","2007",1057315
"390","South Carolina","2007",4444110
"391","South Dakota","2007",791623
"392","Tennessee","2007",6175727
"393","Texas","2007",23831983
"394","Utah","2007",2597746
"395","Vermont","2007",623481
"396","Virginia","2007",7751000
"397","Washington","2007",6461587
"398","West Virginia","2007",1834052
"399","Wisconsin","2007",5610775
"400","Wyoming","2007",534876
"401","Alabama","2008",4718206
"402","Alaska","2008",687455
"403","Arizona","2008",6280362
"404","Arkansas","2008",2874554
"405","California","2008",36604337
"406","Colorado","2008",4889730
"407","Connecticut","2008",3545579
"408","Delaware","2008",883874
"409","Florida","2008",18527305
"410","Georgia","2008",9504843
"411","Hawaii","2008",1332213
"412","Idaho","2008",1534320
"413","Illinois","2008",12747038
"414","Indiana","2008",6424806
"415","Iowa","2008",3016734
"416","Kansas","2008",2808076
"417","Kentucky","2008",4289878
"418","Louisiana","2008",4435586
"419","Maine","2008",1330509
"420","Maryland","2008",5684965
"421","Massachusetts","2008",6468967
"422","Michigan","2008",9946889
"423","Minnesota","2008",5247018
"424","Mississippi","2008",2947806
"425","Missouri","2008",5923916
"426","Montana","2008",976415
"427","Nebraska","2008",1796378
"428","Nevada","2008",2653630
"429","New Hampshire","2008",1315906
"430","New Jersey","2008",8711090
"431","New Mexico","2008",2010662
"432","New York","2008",19212436
"433","North Carolina","2008",9309449
"434","North Dakota","2008",657569
"435","Ohio","2008",11515391
"436","Oklahoma","2008",3668976
"437","Oregon","2008",3768748
"438","Pennsylvania","2008",12612285
"439","Rhode Island","2008",1055003
"440","South Carolina","2008",4528996
"441","South Dakota","2008",799124
"442","Tennessee","2008",6247411
"443","Texas","2008",24309039
"444","Utah","2008",2663029
"445","Vermont","2008",624151
"446","Virginia","2008",7833496
"447","Washington","2008",6562231
"448","West Virginia","2008",1840310
"449","Wisconsin","2008",5640996
"450","Wyoming","2008",546043
"451","Alabama","2009",4757938
"452","Alaska","2009",698895
"453","Arizona","2009",6343154
"454","Arkansas","2009",2896843
"455","California","2009",36961229
"456","Colorado","2009",4972195
"457","Connecticut","2009",3561807
"458","Delaware","2009",891730
"459","Florida","2009",18652644
"460","Georgia","2009",9620846
"461","Hawaii","2009",1346717
"462","Idaho","2009",1554439
"463","Illinois","2009",12796778
"464","Indiana","2009",6459325
"465","Iowa","2009",3032870
"466","Kansas","2009",2832704
"467","Kentucky","2009",4317074
"468","Louisiana","2009",4491648
"469","Maine","2009",1329590
"470","Maryland","2009",5730388
"471","Massachusetts","2009",6517613
"472","Michigan","2009",9901591
"473","Minnesota","2009",5281203
"474","Mississippi","2009",2958774
"475","Missouri","2009",5961088
"476","Montana","2009",983982
"477","Nebraska","2009",1812683
"478","Nevada","2009",2684665
"479","New Hampshire","2009",1316102
"480","New Jersey","2009",8755602
"481","New Mexico","2009",2036802
"482","New York","2009",19307066
"483","North Carolina","2009",9449566
"484","North Dakota","2009",664968
"485","Ohio","2009",11528896
"486","Oklahoma","2009",3717572
"487","Oregon","2009",3808600
"488","Pennsylvania","2009",12666858
"489","Rhode Island","2009",1053646
"490","South Carolina","2009",4589872
"491","South Dakota","2009",807067
"492","Tennessee","2009",6306019
"493","Texas","2009",24801761
"494","Utah","2009",2723421
"495","Vermont","2009",624817
"496","Virginia","2009",7925937
"497","Washington","2009",6667426
"498","West Virginia","2009",1847775
"499","Wisconsin","2009",5669264
"500","Wyoming","2009",559851
"501","Alabama","2010",4785298
"502","Alaska","2010",713985
"503","Arizona","2010",6413737
"504","Arkansas","2010",2921606
"505","California","2010",37349363
"506","Colorado","2010",5049071
